raise,87.29892009
irate,88.7062635
arise,89.61900648
arose,91.35680346
alter,92.06695464
later,92.58617711
alert,92.8362851
stare,93.29287257
snare,95.54730022
saner,95.66220302
slate,98.64708423
learn,99.4475162
crate,100.5334773
stale,100.9974082
trace,101.099784
aisle,101.6069114
renal,101.9857451
least,102.1943844
leant,102.6963283
react,103.8177106
cater,105.1883369
trail,105.2600432
scare,105.6306695
store,106.2419006
alone,106.2950324
atone,106.4306695
solar,107.1537797
roast,107.2051836
loser,107.2220302
trial,107.9110151
teary,108.162851
crane,108.2587473
trade,108.5110151
alien,109.9066955
clear,110.0311015
tenor,110.1490281
stair,110.2941685
steal,110.3334773
snore,111.2133909
siren,111.6263499
rinse,112.2799136
stole,112.7524838
share,112.9680346
layer,113.5654428
sonar,113.6306695
heart,113.8384449
hater,114.1714903
ratio,114.3347732
grate,114.5654428
train,114.7360691
caste,114.8721382
taper,114.9282937
trice,115.3991361
tread,115.9287257
scale,115.9360691
route,115.9511879
adore,116.0652268
risen,116.3969762
parse,116.4462203
shear,116.5796976
pearl,116.9382289
saute,117.2008639
yearn,117.3006479
liner,117.4133909
stern,117.5796976
early,117.7149028
paler,117.8177106
relay,117.8393089
snarl,117.8816415
inert,118.2928726
inter,118.3814255
spare,118.6993521
arson,118.7477322
resin,118.8233261
earth,118.8401728
cleat,119.2237581
glare,119.2406048
aider,119.4596112
islet,119.6725702
dealt,119.6760259
tamer,119.7321814
large,120.0194384
rouse,120.0263499
lance,120.7187905
score,120.7226782
great,120.8786177
plate,121.4159827
lathe,121.4535637
canoe,121.4820734
crest,123.0479482
shale,123.0868251
yeast,123.3840173
spear,123.5537797
realm,123.6362851
inlet,124.2984881
outer,124.3088553
lager,124.4012959
stone,124.6241901
smear,124.7295896
eclat,124.812095
talon,124.8963283
leapt,125.0609071
slant,125.0829374
tonal,125.3684665
carol,125.4034557
blare,125.6894168
noise,126.2073434
relic,126.6349892
salon,126.8734341
crone,127.0155508
shire,127.3235421
opera,127.5153348
trope,127.5822894
delta,127.649676
enact,128.0185745
urine,128.0207343
slice,128.0349892
tried,128.162419
leash,128.2285097
tripe,128.337365
ramen,128.3771058
close,128.399568
satyr,128.4103672
coral,128.462635
artsy,128.6466523
regal,128.9053996
plane,128.9058315
actor,128.9546436
aside,129.0578834
taker,129.1066955
shore,129.250108
onset,129.4349892
utile,129.8017279
range,129.9416847
safer,129.9840173
pleat,130.0328294
nurse,130.0764579
petal,130.1075594
horse,130.1447084
baler,130.2894168
lapse,130.4099352
clean,130.5399568
ultra,130.5589633
their,130.9079914
stead,130.9602592
flare,130.9706263
slain,131.050108
afire,131.3809935
louse,131.3965443
panel,131.449676
saint,131.4509719
sauce,131.537797
paste,131.5831533
snail,131.7779698
stage,132.062635
haste,132.1637149
sedan,132.3166307
cause,132.4535637
cedar,132.6980562
table,132.7408207
water,132.974946
cadet,132.9853132
plier,133.1676026
laden,133.3019438
grace,133.6704104
peril,133.950324
snort,134.1580994
merit,134.2207343
royal,134.3226782
prose,134.5101512
stray,134.5226782
truce,134.6552916
cruel,134.7166307
meant,134.7516199
lunar,134.9209503
spire,134.9291577
acute,134.9611231
triad,134.9848812
after,135.0859611
cairn,135.137365
satin,135.1572354
older,135.2224622
caper,135.312743
spore,135.3136069
tapir,135.9477322
baste,136.1235421
clone,136.2311015
prone,136.4159827
anode,136.4544276
hotel,136.5611231
metal,136.675162
coast,136.6980562
nicer,136.8112311
stein,137.1062635
agile,137.1356371
other,137.136933
suite,137.1451404
anger,137.1637149
penal,137.2159827
trend,137.3641469
remit,137.3930886
tribe,137.4159827
timer,137.500216
polar,137.7343413
style,137.7952484
beast,137.8272138
stain,138.088121
drone,138.1066955
ocean,138.2509719
slide,138.374946
reach,138.5105832
tilde,138.5641469
heard,138.6717063
ashen,138.6894168
sepia,138.9447084
swear,138.949892
lithe,139.087257
feral,139.2082073
tiger,139.4682505
rainy,139.9105832
curse,139.9334773
drape,139.9365011
idler,139.9857451
poser,140.0647948
heron,140.2565875
ideal,140.2708423
recap,140.5442765
metro,140.7330454
rayon,140.7416847
payer,140.7706263
acorn,140.9935205
brace,141.1105832
miser,141.2393089
ready,141.3982721
entry,141.5857451
argue,141.6298056
haute,142.0695464
intro,142.2267819
ulcer,142.47473
trash,142.5982721
scone,142.8211663
recut,142.8276458
since,143.0043197
email,143.0146868
bleat,143.2596112
grail,143.4069114
FALSE,143.4971922
avert,143.7183585
loath,144.1943844
motel,144.3801296
sober,144.8177106
gayer,145.2695464
steam,145.2859611
unite,145.4043197
cream,145.4211663
harem,145.7913607
slope,145.8073434
octal,145.812959
radio,145.9213823
molar,145.9520518
repay,145.9844492
anime,145.9892009
alike,145.9991361
forte,146.0742981
untie,146.0954644
waste,146.5563715
poise,146.6829374
place,146.6833693
angle,146.7213823
feast,146.8012959
smart,146.8164147
write,146.8712743
slime,147.0639309
dance,147.1153348
farce,147.1684665
grant,147.2103672
salty,147.2272138
ripen,147.3300216
